3 9.0
2 0.0
5 3.0
3 9.0
2 -2.0
2 3.0
5 2.0
5 3.0
2 0.0
11 0.0
4 -2.0
5 0.0
17 1.0
7 10.0
8 -2.0
10 6.0
8 2.0
5 3.0
12 -3.0
17 1.0
8 2.0
2 0.0
7 10.0
2 -3.0
12 -8.0
8 -2.0
9 3.0
3 5.0
3 9.0
2 3.0
6 3.0
4 1.0
3 6.0
23 -2.0
3 9.0
4 1.0
13 3.0
4 0.0
3 6.0
8 2.0
2 -2.0
19 2.0
5 3.0
2 0.0
2 3.0
5 3.0
14 3.0
6 3.0
3 9.0
13 5.0
4 -5.0
26 10.0
4 1.0
3 8.0
2 3.0
8 2.0
6 -3.0
9 2.0
14 2.0
3 2.0
5 -3.0
3 3.0
7 5.0
2 3.0
9 3.0
7 10.0
12 -3.0
10 8.0
9 0.0
2 -3.0
14 0.0
4 -2.0
2 3.0
14 3.0
6 3.0
3 5.0
10 9.0
7 10.0
3 3.0
6 -3.0
6 0.0
10 9.0
6 3.0
5 2.0
3 9.0
3 6.0
3 9.0
5 -3.0
3 3.0
8 2.0
8 -6.0
10 3.0
12 -3.0
2 3.0
2 -2.0
6 0.0
10 6.0
13 6.0
3 9.0
5 -3.0
18 6.0
4 -7.0
2 -2.0
5 0.0
8 -1.0
14 -5.0
2 -3.0
7 7.0
24 10.0
3 9.0
3 6.0
3 6.0
2 3.0
6 3.0
8 2.0
17 6.0
19 10.0
5 -6.0
9 0.0
14 0.0
6 0.0
2 3.0
14 3.0
26 9.0
4 -5.0
12 -9.0
14 3.0
6 2.0
3 10.0
3 6.0
5 2.0
21 3.0
2 3.0
3 9.0
11 1.0
2 3.0
8 1.0
6 3.0
5 3.0
14 -3.0
19 10.0
39 -1.0
4 1.0
23 -4.0
4 1.0
19 11.0
7 10.0
7 5.0
33 8.0
2 -6.0
13 9.0
13 9.0
2 -3.0
9 2.0
17 7.0
2 -2.0
2 3.0
2 -3.0
13 3.0
5 -5.0
5 2.0
3 9.0
17 7.0
6 3.0
7 10.0
10 3.0
2 0.0
7 10.0
7 10.0
25 8.0
6 3.0
3 3.0
14 2.0
5 -1.0
4 1.0
6 3.0
4 1.0
9 0.0
6 3.0
4 1.0
4 1.0
7 10.0
4 1.0
2 3.0
12 -4.0
3 8.0
16 5.0
3 8.0
12 -3.0
9 -3.0
8 1.0
6 -2.0
2 -3.0
2 0.0
11 1.0
2 -2.0
7 6.0
6 -1.0
3 9.0
8 2.0
4 1.0
2 3.0
6 -3.0
5 3.0
12 -8.0
18 6.0
15 -5.0
2 2.0
2 2.0
7 10.0
12 -6.0
4 1.0
2 2.0
9 0.0
2 -3.0
8 2.0
3 3.0
13 9.0
2 3.0
5 2.0
2 0.0
2 3.0
7 10.0
10 9.0
5 3.0
2 0.0
3 9.0
3 9.0
2 3.0
11 -4.0
8 1.0
4 1.0
2 3.0
7 4.0
5 0.0
7 10.0
3 9.0
9 -3.0
6 -3.0
8 3.0
14 -5.0
6 3.0
5 0.0
16 6.0
6 3.0
5 3.0
4 1.0
13 8.0
3 3.0
4 0.0
4 1.0
2 -6.0
4 1.0
2 3.0
2 0.0
2 -3.0
10 2.0
6 2.0
4 -4.0
4 1.0
3 4.0
2 3.0
4 -4.0
7 4.0
7 9.0
11 1.0
12 -6.0
3 8.0
4 -3.0
11 -5.0
5 4.0
5 3.0
14 0.0
4 -5.0
13 9.0
8 2.0
6 3.0
10 3.0
2 2.0
2 -3.0
9 3.0
6 -3.0
7 10.0
2 3.0
4 0.0
7 9.0
8 -1.0
5 3.0
6 3.0
12 -3.0
3 1.0
7 7.0
9 0.0
14 -2.0
16 6.0
3 8.0
8 -4.0
7 9.0
12 -4.0
3 9.0
4 -5.0
3 8.0
7 10.0
16 1.0
2 -3.0
5 0.0
16 5.0
10 8.0
3 9.0
6 -3.0
3 4.0
8 -7.0
10 3.0
22 10.0
6 2.0
5 2.0
6 0.0
12 -6.0
3 8.0
5 -2.0
4 1.0
5 -3.0
7 10.0
3 9.0
2 3.0
3 1.0
10 9.0
2 0.0
6 -2.0
4 -2.0
10 8.0
13 4.0
3 9.0
5 0.0
4 1.0
2 -2.0
8 -4.0
8 2.0
8 2.0
9 -3.0
2 -1.0
4 1.0
2 -2.0
4 -2.0
4 1.0
4 1.0
4 -4.0
11 -2.0
7 10.0
5 -5.0
12 -3.0
5 3.0
7 10.0
2 -3.0
4 -4.0
7 7.0
15 2.0
10 3.0
9 3.0
9 0.0
3 9.0
8 -4.0
4 -5.0
9 -3.0
5 -2.0
5 3.0
5 -5.0
4 0.0
9 3.0
3 3.0
3 9.0
3 8.0
3 4.0
8 2.0
9 2.0
8 -7.0
6 -3.0
4 -7.0
4 0.0
16 -1.0
2 -6.0
5 -3.0
7 7.0
21 2.0
2 3.0
2 -3.0
6 3.0
12 -6.0
6 2.0
2 0.0
4 -7.0
7 10.0
6 0.0
7 6.0
2 3.0
13 6.0
9 0.0
9 0.0
6 -3.0
2 -3.0
5 -3.0
8 2.0
12 -9.0
18 6.0
9 2.0
2 -1.0
2 3.0
2 3.0
7 10.0
13 4.0
4 -5.0
3 9.0
3 8.0
8 1.0
9 3.0
7 7.0
10 9.0
11 -5.0
21 0.0
4 -5.0
8 -1.0
2 -1.0
5 -4.0
2 0.0
3 6.0
4 0.0
4 -2.0
2 0.0
8 -1.0
5 2.0
2 3.0
2 2.0
9 -4.0
4 1.0
3 9.0
3 6.0
3 6.0
4 -5.0
2 0.0
10 8.0
3 9.0
2 3.0
2 0.0
8 -5.0
3 10.0
4 0.0
9 -2.0
16 0.0
4 -5.0
7 4.0
5 3.0
3 8.0
4 1.0
33 2.0
7 10.0
14 2.0
16 3.0
6 1.0
12 -8.0
2 3.0
2 3.0
3 9.0
10 9.0
17 4.0
6 -1.0
7 6.0
3 9.0
2 -4.0
4 -3.0
3 6.0
8 2.0
2 3.0
14 -1.0
11 1.0
17 -1.0
13 6.0
2 0.0
2 0.0
2 -3.0
3 9.0
2 -3.0
3 6.0
6 2.0
5 3.0
17 7.0
2 3.0
25 1.0
5 3.0
4 -4.0
7 5.0
2 3.0
9 3.0
8 2.0
9 2.0
7 7.0
5 -3.0
10 1.0
3 10.0
4 1.0
23 -7.0
7 9.0
22 2.0
3 9.0
4 1.0
12 -3.0
6 -3.0
15 -3.0
2 3.0
7 4.0
5 -6.0
4 1.0
2 3.0
2 3.0
16 6.0
4 1.0
3 3.0
4 1.0
6 -1.0
8 2.0
7 10.0
10 9.0
14 3.0
2 -3.0
5 3.0
3 3.0
6 3.0
5 3.0
7 10.0
10 3.0
6 3.0
13 9.0
9 3.0
4 -4.0
2 3.0
4 1.0
2 0.0
2 -5.0
6 2.0
10 8.0
2 -3.0
2 0.0
2 -3.0
15 0.0
10 9.0
11 0.0
13 9.0
6 -5.0
5 3.0
7 7.0
4 0.0
4 -3.0
3 7.0
7 10.0
2 -3.0
2 0.0
3 9.0
6 3.0
2 3.0
16 3.0
20 -6.0
3 2.0
8 -1.0
2 3.0
3 8.0
9 -3.0
6 3.0
8 -5.0
2 0.0
4 -4.0
14 3.0
5 0.0
4 -2.0
11 1.0
6 3.0
4 -2.0
4 -5.0
3 9.0
4 -2.0
8 2.0
2 3.0
4 1.0
11 1.0
22 1.0
18 2.0
2 0.0
4 -5.0
9 2.0
2 3.0
17 7.0
4 -6.0
4 -2.0
5 0.0
3 9.0
3 9.0
3 2.0
2 3.0
3 6.0
3 5.0
7 10.0
2 0.0
4 1.0
12 -6.0
11 -5.0
3 3.0
2 -2.0
8 -1.0
14 0.0
8 2.0
2 3.0
2 3.0
2 -2.0
10 9.0
7 10.0
3 3.0
13 8.0
2 3.0
5 -2.0
13 9.0
7 9.0
5 3.0
2 3.0
5 -4.0
2 2.0
2 -3.0
5 3.0
2 3.0
4 1.0
6 3.0
4 1.0
5 -3.0
12 -9.0
6 -3.0
2 3.0
5 3.0
3 9.0
6 0.0
8 -3.0
2 3.0
8 2.0
11 -2.0
3 9.0
14 -2.0
7 10.0
2 -2.0
3 5.0
5 -1.0
6 3.0
6 0.0
3 2.0
2 -2.0
2 3.0
2 0.0
2 3.0
19 7.0
7 5.0
3 3.0
3 9.0
3 8.0
11 1.0
2 3.0
9 -4.0
16 6.0
6 3.0
5 2.0
2 3.0
3 8.0
5 -3.0
4 -2.0
4 0.0
2 0.0
9 3.0
7 10.0
5 3.0
4 1.0
2 3.0
2 3.0
2 3.0
10 9.0
12 -4.0
2 -2.0
3 6.0
4 -2.0
6 -3.0
2 0.0
5 -5.0
4 -8.0
8 2.0
9 0.0
3 8.0
2 3.0
5 -2.0
2 3.0
6 3.0
2 0.0
4 -2.0
5 -2.0
7 9.0
3 9.0
5 3.0
8 2.0
7 5.0
2 -5.0
2 3.0
12 -4.0
3 3.0
7 9.0
10 0.0
3 3.0
7 5.0
3 8.0
2 -3.0
2 3.0
6 2.0
7 3.0
10 6.0
2 3.0
3 9.0
5 2.0
8 2.0
4 0.0
2 -3.0
5 3.0
4 0.0
2 -3.0
4 1.0
2 3.0
8 2.0
2 3.0
2 3.0
11 1.0
2 -6.0
4 -5.0
6 -3.0
13 3.0
4 0.0
5 -3.0
4 -5.0
13 9.0
3 6.0
8 2.0
6 3.0
13 8.0
4 1.0
18 -2.0
5 -3.0
3 8.0
9 2.0
7 7.0
3 9.0
3 5.0
5 0.0
4 -5.0
4 -5.0
10 3.0
2 0.0
13 9.0
9 3.0
5 -3.0
2 3.0
8 1.0
4 0.0
8 2.0
3 3.0
13 9.0
17 6.0
7 7.0
5 -4.0
4 -6.0
2 -2.0
7 10.0
2 3.0
4 1.0
8 -3.0
7 10.0
7 7.0
12 -6.0
9 3.0
13 9.0
5 0.0
2 3.0
8 2.0
21 3.0
18 5.0
6 0.0
12 -4.0
14 2.0
2 -2.0
2 -2.0
5 3.0
5 -3.0
2 0.0
7 7.0
3 6.0
12 -3.0
2 0.0
9 0.0
7 2.0
2 -2.0
7 7.0
6 3.0
11 0.0
6 3.0
12 -10.0
7 10.0
9 -3.0
4 -2.0
4 -6.0
2 3.0
3 9.0
4 -2.0
2 0.0
8 2.0
9 0.0
5 3.0
2 3.0
2 -2.0
2 -3.0
6 3.0
5 -3.0
11 0.0
3 9.0
12 -6.0
7 10.0
7 4.0
3 4.0
13 6.0
13 9.0
5 3.0
5 3.0
3 6.0
4 -4.0
6 3.0
3 6.0
2 -3.0
10 9.0
6 -3.0
5 3.0
4 -8.0
2 -2.0
14 0.0
6 -5.0
4 1.0
16 6.0
3 8.0
4 1.0
6 3.0
3 9.0
2 0.0
11 -7.0
6 0.0
3 4.0
8 2.0
8 -2.0
20 -1.0
17 6.0
10 1.0
4 1.0
2 -6.0
7 4.0
3 5.0
4 1.0
10 8.0
21 3.0
4 1.0
18 3.0
2 4.0
3 6.0
6 2.0
18 5.0
10 3.0
15 -3.0
4 -2.0
6 -3.0
8 2.0
6 3.0
18 6.0
20 -1.0
4 1.0
10 3.0
8 -7.0
6 -3.0
3 4.0
3 3.0
5 -3.0
2 3.0
6 3.0
3 9.0
5 3.0
2 2.0
6 0.0
14 0.0
5 0.0
10 1.0
15 -1.0
2 3.0
2 0.0
32 -11.0
3 1.0
12 -3.0
9 2.0
3 3.0
4 1.0
2 2.0
3 9.0
4 -4.0
4 1.0
14 -2.0
16 0.0
11 1.0
5 3.0
21 3.0
2 -1.0
3 3.0
10 9.0
4 1.0
5 0.0
2 3.0
2 -3.0
11 1.0
2 -3.0
6 0.0
11 -3.0
4 0.0
3 8.0
16 2.0
12 -9.0
2 2.0
4 1.0
12 -3.0
2 3.0
2 2.0
5 -2.0
3 9.0
6 0.0
9 -6.0
5 3.0
2 3.0
4 0.0
2 -2.0
2 0.0
11 -2.0
3 6.0
6 -3.0
4 -2.0
2 3.0
9 3.0
2 2.0
8 2.0
5 3.0
4 -6.0
4 1.0
6 0.0
4 1.0
12 -10.0
8 2.0
3 5.0
2 3.0
9 -3.0
7 10.0
8 -4.0
7 3.0
4 -8.0
5 3.0
2 3.0
4 0.0
8 2.0
5 -3.0
3 8.0
3 9.0
3 6.0
2 0.0
6 -4.0
5 3.0
3 3.0
2 3.0
8 2.0
6 3.0
11 -5.0
3 9.0
13 6.0
6 3.0
13 9.0
5 0.0
3 6.0
4 -4.0
3 6.0
8 2.0
3 9.0
5 -3.0
11 1.0
2 -3.0
3 9.0
3 9.0
4 -4.0
2 -2.0
4 -2.0
2 3.0
3 4.0
3 9.0
9 3.0
3 3.0
3 6.0
3 1.0
2 3.0
8 1.0
31 0.0
2 3.0
15 0.0
2 -3.0
4 -2.0
6 0.0
8 1.0
2 -4.0
10 10.0
11 1.0
19 10.0
2 3.0
5 0.0
19 10.0
3 6.0
7 7.0
15 3.0
16 5.0
6 -3.0
5 -3.0
7 10.0
4 1.0
6 -2.0
14 -1.0
2 -3.0
5 3.0
2 2.0
2 0.0
10 8.0
6 0.0
2 3.0
5 3.0
19 7.0
12 -8.0
3 9.0
4 1.0
2 2.0
3 9.0
9 2.0
6 3.0
2 3.0
3 9.0
33 2.0
5 0.0
8 -6.0
2 0.0
6 3.0
4 1.0
3 6.0
2 -3.0
2 3.0
3 9.0
5 2.0
22 10.0
12 -3.0
3 9.0
4 1.0
9 3.0
3 1.0
8 -4.0
13 9.0
6 3.0
8 2.0
14 0.0
3 9.0
2 2.0
4 0.0
23 -2.0
2 3.0
2 3.0
3 9.0
24 10.0
3 9.0
2 2.0
4 -5.0
6 -1.0
4 1.0
2 -3.0
5 3.0
4 1.0
8 -6.0
3 6.0
22 6.0
15 0.0
9 3.0
9 2.0
3 9.0
3 9.0
9 3.0
8 -3.0
2 0.0
7 2.0
12 -8.0
11 1.0
3 5.0
4 1.0
11 -4.0
2 -1.0
3 6.0
3 4.0
6 0.0
4 -5.0
2 3.0
2 0.0
14 -4.0
9 0.0
2 3.0
2 2.0
3 9.0
11 1.0
3 5.0
5 0.0
13 6.0
2 0.0
15 3.0
2 -5.0
7 10.0
3 6.0
3 1.0
6 3.0
13 1.0
6 3.0
7 10.0
2 3.0
4 1.0
5 2.0
4 -2.0
11 -6.0
2 3.0
10 9.0
5 -4.0
11 1.0
3 9.0
2 4.0
2 3.0
4 -2.0
15 3.0
15 -1.0
4 1.0
2 3.0
2 2.0
3 5.0
6 -3.0
3 9.0
5 0.0
4 -2.0
3 2.0
3 5.0
2 3.0
2 3.0
4 1.0
12 -4.0
5 3.0
12 -5.0
7 7.0
7 3.0
14 2.0
5 3.0
3 9.0
16 0.0
6 -2.0
6 3.0
9 -2.0
3 9.0
7 4.0
21 3.0
3 3.0
5 0.0
3 9.0
12 -3.0
2 3.0
3 3.0
3 9.0
4 1.0
8 -6.0
3 9.0
5 -5.0
3 9.0
7 10.0
3 9.0
2 -1.0
2 2.0
4 -4.0
2 3.0
3 9.0
2 -6.0
11 0.0
10 9.0
2 -5.0
2 -3.0
4 1.0
8 2.0
3 9.0
5 3.0
26 4.0
4 -7.0
10 6.0
2 -3.0
2 3.0
6 3.0
8 3.0
11 -2.0
2 3.0
13 1.0
3 0.0
2 3.0
3 8.0
3 9.0
4 -4.0
4 -5.0
3 4.0
3 9.0
10 6.0
5 3.0
8 2.0
8 -4.0
3 3.0
3 8.0
3 4.0
2 3.0
8 2.0
18 6.0
4 1.0
15 3.0
10 9.0
11 0.0
9 -2.0
3 9.0
2 3.0
13 6.0
3 8.0
9 3.0
2 3.0
4 -2.0
10 9.0
10 8.0
2 -1.0
19 10.0
4 0.0
2 2.0
4 -5.0
4 0.0
21 4.0
4 1.0
5 -3.0
2 2.0
13 8.0
20 -4.0
4 -5.0
2 0.0
4 0.0
7 4.0
9 -3.0
9 -5.0
2 3.0
4 1.0
2 -3.0
3 10.0
15 -3.0
14 -5.0
3 8.0
8 -1.0
6 3.0
17 -1.0
27 -2.0
12 -9.0
2 4.0
4 -4.0
3 6.0
5 3.0
2 -5.0
4 0.0
8 2.0
4 -6.0
5 2.0
9 -1.0
5 3.0
10 9.0
15 -2.0
4 -5.0
2 2.0
6 3.0
3 9.0
2 3.0
6 3.0
2 3.0
4 1.0
9 0.0
2 3.0
17 7.0
2 -1.0
5 3.0
3 2.0
3 9.0
7 10.0
10 5.0
3 6.0
9 3.0
2 3.0
3 3.0
5 0.0
3 8.0
11 -1.0
5 0.0
5 2.0
11 1.0
6 0.0
4 -2.0
7 4.0
2 0.0
4 -5.0
5 3.0
18 5.0
3 9.0
2 -5.0
5 3.0
34 2.0
14 -5.0
4 -2.0
12 -3.0
6 3.0
9 3.0
4 1.0
2 -3.0
9 3.0
5 4.0
6 3.0
5 0.0
5 3.0
5 -5.0
5 3.0
6 2.0
2 3.0
4 0.0
12 -6.0
12 -3.0
7 5.0
7 7.0
13 3.0
14 -2.0
9 0.0
2 -2.0
2 3.0
16 6.0
3 6.0
3 3.0
4 1.0
3 6.0
6 -2.0
7 7.0
2 3.0
2 0.0
2 3.0
5 2.0
5 2.0
9 3.0
16 6.0
14 3.0
4 -2.0
2 0.0
3 9.0
4 0.0
2 3.0
2 3.0
8 -1.0
2 3.0
11 1.0
5 -3.0
13 9.0
5 -4.0
6 3.0
3 9.0
3 9.0
16 5.0
3 8.0
8 -2.0
5 3.0
4 -5.0
4 1.0
2 -3.0
4 -2.0
2 2.0
14 -2.0
3 9.0
2 0.0
3 8.0
2 3.0
9 3.0
7 10.0
3 6.0
15 0.0
9 -3.0
3 3.0
5 3.0
3 4.0
4 1.0
2 2.0
2 -1.0
28 -5.0
16 6.0
20 -1.0
4 1.0
2 3.0
3 8.0
9 3.0
2 2.0
9 3.0
6 3.0
5 -3.0
8 1.0
2 2.0
2 0.0
10 9.0
6 3.0
2 -3.0
3 3.0
14 3.0
6 3.0
2 0.0
8 -6.0
6 -3.0
15 -3.0
11 -8.0
2 2.0
7 4.0
2 3.0
6 -3.0
3 8.0
5 3.0
5 -2.0
3 9.0
6 0.0
5 2.0
4 -4.0
4 0.0
5 3.0
4 1.0
2 3.0
2 0.0
3 9.0
11 1.0
3 8.0
7 7.0
7 4.0
3 8.0
2 3.0
3 3.0
3 9.0
5 -3.0
3 9.0
2 -5.0
2 3.0
6 2.0
6 3.0
4 1.0
3 9.0
3 9.0
2 3.0
4 0.0
7 10.0
3 0.0
15 3.0
3 9.0
7 4.0
4 1.0
3 9.0
2 -2.0
3 8.0
3 9.0
10 0.0
9 2.0
10 8.0
5 -3.0
6 -3.0
6 3.0
8 -4.0
7 7.0
10 9.0
2 2.0
6 3.0
5 -4.0
2 -1.0
2 3.0
4 2.0
6 2.0
5 2.0
8 1.0
8 1.0
2 -5.0
18 0.0
10 6.0
2 3.0
3 9.0
14 0.0
3 6.0
3 9.0
4 1.0
5 3.0
3 1.0
2 -3.0
28 -6.0
14 -1.0
3 8.0
8 -3.0
10 4.0
21 -3.0
2 0.0
2 2.0
3 3.0
11 1.0
7 5.0
5 -3.0
9 3.0
18 3.0
11 1.0
3 9.0
2 2.0
3 0.0
3 6.0
3 9.0
3 9.0
4 -2.0
4 -5.0
6 2.0
6 4.0
7 3.0
3 9.0
4 -3.0
2 3.0
7 10.0
15 3.0
3 9.0
5 -4.0
15 0.0
11 -5.0
2 3.0
8 -1.0
2 0.0
14 -3.0
4 0.0
3 9.0
6 3.0
9 3.0
13 6.0
3 9.0
16 6.0
7 5.0
6 -5.0
2 -3.0
8 2.0
6 -3.0
5 -3.0
5 3.0
7 4.0
4 -5.0
10 9.0
5 -5.0
15 0.0
4 1.0
6 -1.0
5 3.0
28 -8.0
10 9.0
3 8.0
7 7.0
6 3.0
4 0.0
2 -3.0
3 1.0
4 -2.0
8 2.0
6 2.0
12 -3.0
4 -6.0
3 9.0
8 2.0
4 1.0
10 9.0
7 1.0
15 -5.0
4 0.0
2 4.0
4 1.0
4 1.0
5 3.0
4 1.0
5 -2.0
3 7.0
9 -3.0
13 9.0
3 1.0
2 2.0
3 9.0
2 3.0
4 1.0
5 2.0
2 3.0
5 3.0
9 -6.0
5 -3.0
5 -3.0
4 -2.0
6 -3.0
4 0.0
6 -4.0
4 -4.0
3 8.0
4 1.0
5 3.0
2 0.0
3 1.0
4 1.0
6 -1.0
3 9.0
18 2.0
2 0.0
9 -3.0
12 -9.0
2 -2.0
13 3.0
8 -5.0
2 2.0
7 6.0
4 -7.0
3 9.0
2 3.0
2 -3.0
7 9.0
3 9.0
4 -5.0
9 0.0
3 5.0
10 6.0
5 -1.0
5 2.0
3 9.0
8 1.0
12 -6.0
8 2.0
14 3.0
9 3.0
10 9.0
2 3.0
7 10.0
3 9.0
2 -1.0
9 -5.0
10 9.0
6 -3.0
2 3.0
10 9.0
8 3.0
5 -3.0
2 3.0
3 9.0
3 5.0
17 7.0
3 2.0
6 4.0
3 6.0
3 8.0
18 6.0
3 4.0
4 1.0
2 2.0
9 -5.0
2 -1.0
2 3.0
5 2.0
3 6.0
9 0.0
2 2.0
2 2.0
2 0.0
11 0.0
3 9.0
6 -2.0
11 0.0
7 9.0
2 3.0
3 3.0
3 2.0
5 3.0
10 9.0
